"Type"	"Width"	"Height"	"X"	"Y"	"Xcoords"	"Ycoords"
"java.awt.geom.Rectangle2D$Double"	"551.0"	"209.0"	"18.0"	"138.0"	"[18, 569, 569]"	"[347, 347, 138]"
"java.awt.geom.Rectangle2D$Double"	"500.0"	"687.0"	"759.0"	"10.0"	"[759, 1259, 1259]"	"[697, 697, 10]"
"java.awt.geom.Path2D$Double"	"735.0"	"408.0"	"5.0"	"280.0"	"[730, 727, 725, 718, 716, 710, 709, 704, 701, 695, 693, 690, 686, 663, 662, 657, 654, 642, 640, 628, 626, 625, 623, 622, 620, 619, 617, 614, 614, 612, 611, 610, 609, 607, 606, 605, 604, 603, 602, 602, 601, 600, 599, 599, 598, 598, 597, 596, 596, 595, 595, 594, 593, 593, 592, 591, 590, 590, 589, 587, 585, 583, 582, 580, 578, 570, 569, 567, 565, 564, 562, 560, 557, 556, 548, 548, 545, 543, 543, 540, 539, 529, 527, 524, 522, 515, 513, 487, 486, 313, 309, 264, 260, 259, 258, 256, 255, 252, 248, 244, 241, 238, 230, 228, 222, 216, 215, 211, 184, 178, 162, 159, 153, 149, 147, 143, 141, 128, 126, 121, 119, 117, 114, 111, 108, 105, 104, 101, 95, 92, 90, 87, 86, 83, 80, 78, 76, 73, 71, 67, 64, 60, 59, 57, 57, 55, 54, 53, 52, 51, 51, 49, 48, 47, 47, 46, 45, 45, 45, 44, 43, 43, 41, 40, 39, 37, 36, 35, 33, 32, 31, 30, 30, 28, 27, 25, 25, 24, 22, 21, 21, 20, 19, 18, 18, 17, 17, 16, 16, 15, 13, 13, 12, 12, 11, 11, 9, 9, 8, 8, 8, 7, 7, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 10, 10, 10, 11, 12, 13, 15, 16, 17, 19, 20, 22, 27, 29, 32, 35, 37, 38, 45, 47, 49, 50, 58, 61, 69, 70, 70, 76, 78, 206, 210, 348, 350, 399, 407, 528, 532, 558, 564, 627, 630, 631, 635, 638, 640, 643, 651, 654, 655, 659, 661, 665, 678, 685, 690, 697, 701, 704, 707, 708, 712, 714, 722, 722, 723, 723, 724, 724, 725, 725, 725, 725, 727, 727, 728, 728, 728, 728, 728, 728, 728, 728, 728, 728, 728, 729, 729, 729, 732, 732, 732, 733, 733, 734, 734, 734, 734, 734, 735, 735, 738, 738, 738, 739, 739, 739, 739, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 740, 739, 738, 737, 736, 739]"	"[281, 281, 283, 283, 284, 284, 285, 285, 286, 286, 287, 287, 288, 288, 289, 289, 290, 290, 292, 292, 293, 293, 294, 294, 296, 296, 297, 297, 298, 300, 300, 301, 302, 304, 305, 306, 308, 309, 311, 313, 313, 315, 316, 317, 318, 320, 321, 322, 324, 325, 326, 329, 330, 331, 332, 334, 334, 335, 336, 337, 337, 338, 339, 340, 341, 341, 342, 342, 343, 344, 344, 345, 345, 346, 346, 347, 348, 348, 349, 349, 350, 350, 352, 352, 354, 354, 355, 355, 356, 356, 357, 357, 358, 358, 359, 359, 360, 361, 361, 362, 362, 363, 363, 364, 364, 366, 366, 367, 367, 368, 368, 369, 369, 371, 372, 372, 373, 373, 375, 375, 376, 377, 377, 378, 380, 381, 381, 382, 382, 383, 385, 385, 386, 386, 387, 389, 389, 390, 391, 392, 394, 394, 395, 396, 397, 397, 398, 400, 401, 401, 402, 403, 404, 405, 406, 407, 407, 408, 409, 410, 411, 412, 414, 415, 416, 418, 419, 420, 422, 423, 425, 425, 426, 430, 430, 433, 434, 435, 437, 438, 440, 441, 442, 442, 444, 446, 447, 448, 450, 450, 452, 455, 457, 458, 460, 462, 464, 465, 467, 469, 471, 473, 475, 476, 477, 478, 480, 481, 484, 487, 488, 491, 492, 493, 494, 495, 498, 500, 501, 504, 507, 509, 512, 513, 516, 518, 521, 522, 524, 526, 528, 529, 531, 532, 534, 537, 538, 540, 543, 545, 547, 550, 552, 555, 559, 561, 563, 566, 569, 573, 575, 579, 583, 585, 589, 592, 594, 598, 601, 603, 607, 611, 613, 618, 621, 623, 626, 629, 630, 632, 635, 638, 640, 643, 647, 650, 653, 656, 659, 661, 663, 666, 672, 676, 679, 684, 687, 688, 688, 686, 686, 685, 685, 684, 684, 683, 682, 682, 681, 681, 683, 683, 684, 684, 685, 685, 686, 686, 688, 688, 687, 687, 686, 685, 685, 683, 683, 682, 682, 681, 681, 678, 678, 677, 676, 676, 675, 674, 673, 672, 672, 671, 671, 670, 668, 667, 666, 663, 662, 660, 658, 657, 654, 650, 645, 641, 636, 632, 628, 624, 621, 619, 614, 610, 606, 601, 596, 592, 586, 581, 577, 573, 568, 564, 558, 555, 549, 542, 538, 533, 528, 524, 521, 517, 513, 512, 508, 505, 502, 500, 496, 491, 488, 485, 481, 479, 475, 471, 467, 464, 459, 452, 445, 440, 435, 430, 427, 422, 416, 412, 280]"
