"Type"	"Width"	"Height"	"X"	"Y"	"Xcoords"	"Ycoords"
"java.awt.geom.Rectangle2D$Double"	"256.0"	"181.0"	"447.0"	"30.0"	"[447, 703, 703]"	"[211, 211, 30]"
"java.awt.geom.Rectangle2D$Double"	"298.0"	"206.0"	"728.0"	"305.0"	"[728, 1026, 1026]"	"[511, 511, 305]"
"java.awt.geom.Rectangle2D$Double"	"188.0"	"152.0"	"1014.0"	"72.0"	"[1014, 1202, 1202]"	"[224, 224, 72]"
"java.awt.geom.Rectangle2D$Double"	"178.0"	"161.0"	"1066.0"	"480.0"	"[1066, 1244, 1244]"	"[641, 641, 480]"
"java.awt.geom.Rectangle2D$Double"	"142.0"	"108.0"	"444.0"	"333.0"	"[444, 586, 586]"	"[441, 441, 333]"
"java.awt.geom.Rectangle2D$Double"	"201.0"	"237.0"	"98.0"	"385.0"	"[98, 299, 299]"	"[622, 622, 385]"
