"Type"	"Width"	"Height"	"X"	"Y"	"Xcoords"	"Ycoords"
"java.awt.geom.Rectangle2D$Double"	"311.0"	"277.0"	"35.0"	"78.0"	"[35, 346, 346]"	"[355, 355, 78]"
"java.awt.geom.Rectangle2D$Double"	"143.0"	"112.0"	"318.0"	"437.0"	"[318, 461, 461]"	"[549, 549, 437]"
"java.awt.geom.Rectangle2D$Double"	"185.0"	"127.0"	"499.0"	"89.0"	"[499, 684, 684]"	"[216, 216, 89]"
"java.awt.geom.Rectangle2D$Double"	"252.0"	"180.0"	"907.0"	"82.0"	"[907, 1159, 1159]"	"[262, 262, 82]"
"java.awt.geom.Rectangle2D$Double"	"181.0"	"165.0"	"789.0"	"362.0"	"[789, 970, 970]"	"[527, 527, 362]"
